Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,547.4000244140625,533.1700439453125,538.9600219726562,534.8699951171875,1176220.0,447.9445495605469
2010-01-05,546.0,533.2200317382812,541.5999755859375,536.6900024414062,1650740.0,449.46875
2010-01-06,540.0,532.25,540.0,539.27001953125,2017460.0,451.6295471191406
2010-01-07,539.0,525.1099853515625,535.4400024414062,529.22998046875,3453515.0,443.2210998535156
2010-01-08,533.4600219726562,518.0700073242188,530.0,520.010009765625,11425060.0,435.49945068359375
2010-01-11,528.8900146484375,516.0599975585938,522.4000244140625,520.02001953125,5018150.0,435.5079650878906
2010-01-12,523.760009765625,509.6000061035156,523.5999755859375,511.92999267578125,5502200.0,428.732666015625
2010-01-13,519.760009765625,501.6099853515625,519.739990234375,508.7799987792969,4086970.0,426.09466552734375
2010-01-14,511.1499938964844,503.0,507.010009765625,504.989990234375,4576305.0,422.9205322265625
2010-01-15,507.6000061035156,501.0,506.0,504.29998779296875,2703750.0,422.3426513671875
2010-01-18,517.739990234375,502.5899963378906,505.0,511.489990234375,3008855.0,428.36419677734375
2010-01-19,518.0,500.79998779296875,516.0,502.1000061035156,6616760.0,420.5002746582031
2010-01-20,510.3800048828125,499.20001220703125,506.25,505.45001220703125,7543215.0,423.3058166503906
2010-01-21,507.0,485.0199890136719,506.010009765625,487.3999938964844,4913965.0,408.1893005371094
2010-01-22,488.3599853515625,389.92999267578125,485.0199890136719,481.739990234375,6588655.0,403.4491271972656
2010-01-25,480.0,473.3999938964844,480.0,476.3900146484375,2996995.0,398.968505859375
2010-01-27,475.8800048828125,460.0,475.8800048828125,461.1099853515625,8868575.0,386.1717834472656
2010-01-28,477.20001220703125,461.20001220703125,468.0,469.3699951171875,4871315.0,393.08941650390625
2010-01-29,484.0,468.0,468.0,476.7699890136719,7171750.0,399.28680419921875
2010-02-01,480.0,469.2200012207031,477.6000061035156,477.3399963378906,4197495.0,399.7641906738281
2010-02-02,488.0,478.0400085449219,483.3999938964844,484.010009765625,5587645.0,405.3501892089844
2010-02-03,505.20001220703125,482.5299987792969,482.5299987792969,503.1300048828125,5122225.0,421.3629150390625
2010-02-04,501.79998779296875,480.42999267578125,501.0,483.70001220703125,3487600.0,405.090576171875
2010-02-05,482.760009765625,468.0199890136719,479.79998779296875,477.9599914550781,2557845.0,400.2834167480469
